run_id,harderLASSO ANN - 0.7lambda,harderLASSO ANN - lambda,harderLASSO ANN - 1.3lambda
0,"[16, 24, 97, 116, 134, 175, 176, 195, 208, 218, 258, 297]","[24, 97, 116, 134, 175, 176, 195, 208, 218, 258, 297]","[24, 97, 116, 134, 175, 176, 195, 208, 218, 258, 297]"
1,"[6, 24, 34, 140, 178, 200, 208, 217, 243, 264, 284, 287]","[6, 24, 34, 140, 178, 200, 217, 243, 264, 284, 287]","[6, 24, 34, 140, 178, 200, 217, 243, 264, 284, 287]"
2,"[31, 42, 49, 54, 59, 103, 137, 165, 249, 251, 299]","[31, 42, 49, 54, 59, 103, 137, 165, 249, 251, 299]","[31, 42, 49, 54, 59, 103, 137, 165, 249, 251, 299]"
3,"[69, 90, 121, 141, 142, 159, 172, 177, 185, 197, 227, 252]","[69, 121, 141, 142, 159, 172, 177, 185, 197, 227, 252]","[69, 121, 141, 142, 159, 172, 177, 185, 197, 227, 252]"
4,"[20, 28, 40, 74, 92, 156, 238, 251, 274, 276, 281]","[20, 28, 40, 74, 92, 156, 238, 251, 274, 276, 281]","[20, 28, 40, 74, 92, 156, 238, 251, 274, 276, 281]"
5,"[39, 81, 104, 105, 108, 174, 187, 208, 279, 280, 288]","[39, 81, 104, 105, 108, 174, 187, 208, 279, 280, 288]","[39, 81, 104, 105, 108, 174, 187, 208, 279, 280, 288]"
6,"[13, 129, 147, 155, 177, 182, 224, 225, 267, 272, 283, 287]","[13, 147, 155, 177, 182, 224, 225, 267, 272, 283, 287]","[13, 147, 155, 177, 182, 224, 225, 267, 272, 283, 287]"
7,"[63, 95, 99, 102, 133, 164, 165, 200, 206, 219, 250]","[63, 95, 99, 102, 133, 164, 165, 200, 206, 219, 250]","[63, 95, 99, 102, 133, 164, 165, 200, 206, 219, 250]"
8,"[17, 68, 97, 128, 133, 135, 152, 159, 241, 251, 271, 284]","[97, 128, 133, 135, 152, 159, 241, 251, 271, 284]","[17, 97, 128, 133, 135, 152, 159, 241, 251, 271, 284]"
9,"[7, 23, 32, 35, 69, 118, 205, 231, 234, 235, 291]","[7, 23, 32, 35, 69, 118, 205, 231, 234, 235, 291]","[7, 23, 32, 35, 69, 118, 205, 231, 234, 235, 291]"
10,"[16, 24, 36, 42, 66, 87, 124, 132, 156, 185, 270, 295, 297]","[16, 24, 36, 66, 87, 124, 132, 185, 270, 295, 297]","[16, 24, 36, 66, 87, 124, 132, 185, 270, 295, 297]"
11,"[6, 59, 64, 95, 121, 122, 174, 187, 253, 264, 274, 282, 299]","[6, 59, 64, 95, 121, 122, 174, 187, 253, 274, 299]","[6, 59, 64, 95, 121, 122, 174, 187, 253, 274, 299]"
12,"[11, 13, 15, 109, 132, 156, 181, 204, 213, 220, 277]","[11, 13, 15, 109, 132, 156, 181, 204, 213, 220, 277]","[11, 13, 15, 109, 132, 156, 181, 204, 213, 220, 277]"
13,"[3, 12, 15, 23, 24, 50, 142, 171, 221, 239, 283]","[3, 12, 15, 23, 24, 50, 142, 171, 221, 239, 283]","[3, 12, 15, 23, 24, 50, 142, 171, 221, 239, 283]"
14,"[2, 17, 25, 61, 88, 100, 121, 142, 163, 171, 189, 198, 238, 240]","[2, 17, 25, 61, 100, 121, 163, 171, 189, 198, 238]","[2, 17, 25, 61, 100, 121, 163, 171, 189, 198, 238]"
15,"[10, 18, 41, 45, 67, 137, 185, 206, 217, 249, 259, 289]","[18, 41, 45, 67, 137, 185, 206, 217, 249, 259, 289]","[18, 41, 45, 67, 137, 185, 206, 217, 249, 259, 289]"
