run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(14.182311142427574))","([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(15.624059395334923))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(12.276022658162562))","([np.int64(5), np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(18.337862907103737))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(12.990379693339937))","([np.int64(0), np.int64(4), np.int64(5), np.int64(10), np.int64(17), np.int64(27)], np.float64(17.66866809503294))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(12.964350225030138))","([np.int64(14), np.int64(30), np.int64(31), np.int64(34), np.int64(38), np.int64(49)], np.float64(18.316229452381414))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(12.936082369154185))","([np.int64(2), np.int64(11), np.int64(15), np.int64(36), np.int64(42)], np.float64(16.74474938499065))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(12.30913372260355))","([np.int64(5), np.int64(17), np.int64(24), np.int64(41), np.int64(44)], np.float64(16.842303988602353))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(14.189984707495968))","([np.int64(9), np.int64(13), np.int64(17), np.int64(29), np.int64(45), np.int64(47)], np.float64(19.12979211834217))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(13.89480643171139))","([np.int64(10), np.int64(15), np.int64(19), np.int64(37), np.int64(48)], np.float64(18.42369339951656))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(12.948053209680172))","([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(14.709072319764179))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(13.994732747655318))","([np.int64(27), np.int64(29), np.int64(33), np.int64(41), np.int64(42), np.int64(49)], np.float64(17.771170087399597))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(12.92310569414582))","([np.int64(4), np.int64(19), np.int64(30), np.int64(31), np.int64(37), np.int64(46), np.int64(49)], np.float64(18.19316972482456))"
12,"([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(13.585919611573306))","([np.int64(3), np.int64(7), np.int64(15), np.int64(37), np.int64(38), np.int64(43), np.int64(46)], np.float64(19.701523940673187))"
13,"([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(11.517900353092642))","([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(14.813140427442868))"
