run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(11.661242138224917))","([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(15.012605332615335))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(12.487559874118661))","([np.int64(5), np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(17.84825460378619))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(13.606572072598453))","([np.int64(0), np.int64(3), np.int64(4), np.int64(5), np.int64(10), np.int64(27), np.int64(30)], np.float64(18.650642851091515))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(13.763677102476072))","([np.int64(14), np.int64(30), np.int64(31), np.int64(34), np.int64(38), np.int64(49)], np.float64(17.990093735764194))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(12.930310167971998))","([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(14.899295655643506))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(12.042378447154741))","([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(15.261988073614269))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(13.662795311519103))","([np.int64(13), np.int64(15), np.int64(17), np.int64(29), np.int64(45)], np.float64(17.28903122320762))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(13.557035327904407))","([np.int64(10), np.int64(15), np.int64(19), np.int64(37), np.int64(48)], np.float64(18.209296374033862))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(11.631273281231646))","([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(14.242143499130963))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(13.48414077869435))","([np.int64(27), np.int64(29), np.int64(33), np.int64(41), np.int64(42)], np.float64(16.561540846138502))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(13.509203035081892))","([np.int64(4), np.int64(9), np.int64(17), np.int64(19), np.int64(30), np.int64(31), np.int64(46), np.int64(49)], np.float64(17.85565256138113))"
12,"([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(12.864761432618725))","([np.int64(3), np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(17.19105278250682))"
13,"([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(11.451241307333163))","([np.int64(2), np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(15.946374121622423))"
14,"([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(12.760660282540858))","([np.int64(16), np.int64(21), np.int64(40), np.int64(41), np.int64(42)], np.float64(18.018951462316718))"
15,"([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(13.033039443267716))","([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(14.203491924307507))"
16,"([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(11.568545491884008))","([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(13.945275238042061))"
17,"([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(12.80053688797769))","([np.int64(8), np.int64(18), np.int64(24), np.int64(26), np.int64(27)], np.float64(18.42484462632946))"
18,"([np.int64(6), np.int64(31), np.int64(39), np.int64(48)], np.float64(11.474310353080156))","([np.int64(1), np.int64(6), np.int64(13), np.int64(31), np.int64(39), np.int64(48)], np.float64(19.057193346499922))"
19,"([np.int64(0), np.int64(2), np.int64(19), np.int64(32)], np.float64(12.794214433598034))","([np.int64(0), np.int64(2), np.int64(19), np.int64(32), np.int64(47)], np.float64(15.743277082041935))"
20,"([np.int64(4), np.int64(7), np.int64(15), np.int64(28)], np.float64(14.171942480274868))","([np.int64(4), np.int64(7), np.int64(15), np.int64(28), np.int64(30)], np.float64(17.838071608612424))"
21,"([np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(13.41138062175313))","([np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(13.753488866001367))"
22,"([np.int64(4), np.int64(6), np.int64(11), np.int64(46)], np.float64(12.94829770839778))","([np.int64(4), np.int64(6), np.int64(11), np.int64(46)], np.float64(15.731424156956516))"
23,"([np.int64(0), np.int64(6), np.int64(31), np.int64(42), np.int64(45)], np.float64(14.262508501808309))","([np.int64(0), np.int64(6), np.int64(25), np.int64(31), np.int64(42), np.int64(45)], np.float64(17.981656155144957))"
24,"([np.int64(1), np.int64(8), np.int64(14), np.int64(37)], np.float64(13.93176993871747))","([np.int64(1), np.int64(8), np.int64(14), np.int64(19), np.int64(29), np.int64(37)], np.float64(19.072756126794776))"
25,"([np.int64(2), np.int64(13), np.int64(20), np.int64(26)], np.float64(13.550583034480544))","([np.int64(2), np.int64(13), np.int64(20), np.int64(26), np.int64(27)], np.float64(17.52477007360035))"
26,"([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(13.164269689790771))","([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(14.956751126563683))"
27,"([np.int64(6), np.int64(9), np.int64(19), np.int64(44)], np.float64(12.369280223180235))","([np.int64(6), np.int64(9), np.int64(19), np.int64(44), np.int64(49)], np.float64(18.4369175898397))"
28,"([np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(12.29729222447201))","([np.int64(14), np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(16.282077477475063))"
29,"([np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(11.856819190115205))","([np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(16.59937609400964))"
30,"([np.int64(20), np.int64(21), np.int64(34), np.int64(35)], np.float64(13.043030576213493))","([np.int64(20), np.int64(21), np.int64(34), np.int64(35)], np.float64(14.496766376084258))"
31,"([np.int64(13), np.int64(26), np.int64(28), np.int64(37)], np.float64(13.903854457331061))","([np.int64(13), np.int64(26), np.int64(28), np.int64(37)], np.float64(18.043049385503018))"
32,"([np.int64(8), np.int64(9), np.int64(26), np.int64(37)], np.float64(13.63489382164899))","([np.int64(8), np.int64(9), np.int64(26), np.int64(29), np.int64(37)], np.float64(18.087755549338734))"
33,"([np.int64(5), np.int64(23), np.int64(44), np.int64(45)], np.float64(13.743540506000828))","([np.int64(5), np.int64(23), np.int64(44), np.int64(45)], np.float64(16.0735881988986))"
34,"([np.int64(2), np.int64(11), np.int64(21), np.int64(24)], np.float64(13.137574801469643))","([np.int64(1), np.int64(2), np.int64(11), np.int64(21), np.int64(24)], np.float64(16.553249627382655))"
35,"([np.int64(7), np.int64(30), np.int64(47), np.int64(49)], np.float64(13.45950320217231))","([np.int64(7), np.int64(14), np.int64(29), np.int64(30), np.int64(47), np.int64(49)], np.float64(19.293815067459413))"
36,"([np.int64(11), np.int64(17), np.int64(35), np.int64(41)], np.float64(13.635518373207601))","([np.int64(11), np.int64(12), np.int64(17), np.int64(25), np.int64(35), np.int64(41)], np.float64(17.204121321029678))"
37,"([np.int64(4), np.int64(15), np.int64(24), np.int64(44)], np.float64(12.688890911541616))","([np.int64(4), np.int64(5), np.int64(15), np.int64(24), np.int64(35), np.int64(44)], np.float64(17.83625295546599))"
38,"([np.int64(20), np.int64(25), np.int64(26), np.int64(28)], np.float64(13.231127175465925))","([np.int64(20), np.int64(24), np.int64(25), np.int64(26), np.int64(28), np.int64(42)], np.float64(18.05523557474671))"
39,"([np.int64(5), np.int64(21), np.int64(25), np.int64(43)], np.float64(12.39902858238914))","([np.int64(5), np.int64(6), np.int64(21), np.int64(25), np.int64(43)], np.float64(15.707380364917487))"
40,"([np.int64(29), np.int64(33), np.int64(35), np.int64(44)], np.float64(12.73914278608475))","([np.int64(2), np.int64(26), np.int64(29), np.int64(33), np.int64(35), np.int64(44)], np.float64(16.59492991943439))"
41,"([np.int64(3), np.int64(6), np.int64(11), np.int64(14)], np.float64(12.53958604967874))","([np.int64(3), np.int64(6), np.int64(11), np.int64(14)], np.float64(14.254712193210416))"
42,"([np.int64(6), np.int64(15), np.int64(43), np.int64(49)], np.float64(14.30584211622487))","([np.int64(6), np.int64(15), np.int64(40), np.int64(43), np.int64(49)], np.float64(17.11505443061841))"
43,"([np.int64(24), np.int64(30), np.int64(35), np.int64(45)], np.float64(12.829864269032983))","([np.int64(24), np.int64(30), np.int64(35), np.int64(45)], np.float64(16.612407424317595))"
44,"([np.int64(16), np.int64(22), np.int64(38), np.int64(46)], np.float64(11.96059641825411))","([np.int64(3), np.int64(16), np.int64(22), np.int64(33), np.int64(38), np.int64(45), np.int64(46), np.int64(47)], np.float64(19.265158708507208))"
45,"([np.int64(8), np.int64(19), np.int64(26), np.int64(45)], np.float64(12.942685558861326))","([np.int64(2), np.int64(8), np.int64(19), np.int64(26), np.int64(45)], np.float64(17.143746029396663))"
46,"([np.int64(0), np.int64(10), np.int64(15), np.int64(16)], np.float64(12.797739379841303))","([np.int64(0), np.int64(10), np.int64(15), np.int64(16)], np.float64(16.649102847503542))"
47,"([np.int64(1), np.int64(10), np.int64(13), np.int64(48)], np.float64(12.896890920524406))","([np.int64(1), np.int64(10), np.int64(13), np.int64(43), np.int64(48)], np.float64(17.514012804766374))"
48,"([np.int64(0), np.int64(20), np.int64(24), np.int64(42)], np.float64(12.356227057230674))","([np.int64(0), np.int64(20), np.int64(24), np.int64(28), np.int64(42)], np.float64(16.973698622569216))"
49,"([np.int64(0), np.int64(21), np.int64(26), np.int64(30)], np.float64(13.950185203444018))","([np.int64(0), np.int64(21), np.int64(26), np.int64(30)], np.float64(15.205580645221387))"
