run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(17.666326295980355))","([np.int64(2), np.int64(3), np.int64(13), np.int64(15), np.int64(41), np.int64(44)], np.float64(20.218383041922074))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(17.485622531709364))","([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(18.358657829808806))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(15.01447687087852))","([np.int64(0), np.int64(4), np.int64(5), np.int64(27), np.int64(39)], np.float64(19.34115951650416))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(16.00609472578259))","([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(16.949357329100618))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(17.976993582823273))","([np.int64(2), np.int64(5), np.int64(11), np.int64(15), np.int64(34), np.int64(36)], np.float64(21.613168240327813))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(16.623672426616615))","([np.int64(5), np.int64(12), np.int64(17), np.int64(41), np.int64(44)], np.float64(19.240895080018003))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(17.209131909012562))","([np.int64(13), np.int64(17), np.int64(29), np.int64(42), np.int64(45)], np.float64(20.569744115137528))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(18.559000796503184))","([np.int64(10), np.int64(15), np.int64(17), np.int64(19), np.int64(37), np.int64(48)], np.float64(22.115779935600397))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(16.17929533122038))","([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(17.828227907299574))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(16.685941598111203))","([np.int64(3), np.int64(27), np.int64(29), np.int64(33), np.int64(41), np.int64(42), np.int64(49)], np.float64(21.568629625651287))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(16.248660493397292))","([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(17.02408565606042))"
12,"([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(16.908710674546924))","([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(18.353764015108098))"
13,"([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(15.037874745786954))","([np.int64(8), np.int64(9), np.int64(10), np.int64(31), np.int64(41)], np.float64(18.746836370315137))"
14,"([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(15.879098869079368))","([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(18.079052124331884))"
15,"([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(15.46703474801344))","([np.int64(11), np.int64(19), np.int64(21), np.int64(41), np.int64(45)], np.float64(17.85478496522316))"
16,"([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(17.432034701302744))","([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(17.567640985094727))"
17,"([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(15.834825038440387))","([np.int64(8), np.int64(14), np.int64(18), np.int64(26), np.int64(27)], np.float64(21.688850394117036))"
18,"([np.int64(6), np.int64(31), np.int64(39), np.int64(48)], np.float64(15.696030566513851))","([np.int64(6), np.int64(15), np.int64(31), np.int64(39), np.int64(44), np.int64(48)], np.float64(20.880340373963243))"
19,"([np.int64(0), np.int64(2), np.int64(19), np.int64(32)], np.float64(15.974354918204856))","([np.int64(0), np.int64(2), np.int64(19), np.int64(32)], np.float64(16.421658330831438))"
20,"([np.int64(4), np.int64(7), np.int64(15), np.int64(28), np.int64(37)], np.float64(21.07062950536235))","([np.int64(4), np.int64(7), np.int64(15), np.int64(28)], np.float64(20.08882710705006))"
21,"([np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(15.175374098015421))","([np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(16.07513475969221))"
22,"([np.int64(4), np.int64(6), np.int64(11), np.int64(46)], np.float64(17.942360879946413))","([np.int64(4), np.int64(6), np.int64(11), np.int64(14), np.int64(46)], np.float64(19.261510738801654))"
23,"([np.int64(0), np.int64(6), np.int64(31), np.int64(42)], np.float64(17.270241557264846))","([np.int64(0), np.int64(6), np.int64(31), np.int64(42), np.int64(45)], np.float64(18.561106247936024))"
24,"([np.int64(1), np.int64(8), np.int64(14), np.int64(37)], np.float64(16.1097912843277))","([np.int64(1), np.int64(8), np.int64(14), np.int64(37)], np.float64(17.25047069000976))"
25,"([np.int64(2), np.int64(13), np.int64(20), np.int64(26)], np.float64(18.067950685662233))","([np.int64(2), np.int64(13), np.int64(20), np.int64(26), np.int64(27)], np.float64(20.72290902733196))"
26,"([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(16.82119108767487))","([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(17.308002080784927))"
27,"([np.int64(6), np.int64(9), np.int64(19), np.int64(44)], np.float64(15.88086756000047))","([np.int64(6), np.int64(9), np.int64(19), np.int64(44)], np.float64(18.55542406149382))"
28,"([np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(15.26853303825633))","([np.int64(19), np.int64(35), np.int64(38), np.int64(44), np.int64(48)], np.float64(19.018135880312496))"
29,"([np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(16.76948898577385))","([np.int64(8), np.int64(14), np.int64(26), np.int64(28), np.int64(38), np.int64(41)], np.float64(21.312933291203024))"
