run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(18.04646190735132))","([np.int64(2), np.int64(3), np.int64(13), np.int64(15), np.int64(36)], np.float64(21.547607978978085))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(21.913848440093066))","([np.int64(10), np.int64(22), np.int64(30), np.int64(39), np.int64(41)], np.float64(21.18705303024627))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(18.92935317382156))","([np.int64(0), np.int64(4), np.int64(5), np.int64(26), np.int64(27), np.int64(28), np.int64(30)], np.float64(23.56774013720629))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(18.055320139310904))","([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(18.46647785608494))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(19.467666950775033))","([np.int64(2), np.int64(11), np.int64(15), np.int64(36), np.int64(46)], np.float64(21.958755907790824))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(18.634523690354506))","([np.int64(5), np.int64(12), np.int64(17), np.int64(28), np.int64(41), np.int64(44)], np.float64(22.236320957341718))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(22.239011406657198))","([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(21.572202214132098))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(18.373069980948568))","([np.int64(5), np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(21.476232072867315))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(17.819334827829817))","([np.int64(11), np.int64(14), np.int64(25), np.int64(36), np.int64(38), np.int64(44)], np.float64(22.28155873290835))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(20.069957106058258))","([np.int64(7), np.int64(25), np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(21.9889415092132))"
