run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(11.806401940405687))","([np.int64(2), np.int64(3), np.int64(6), np.int64(13), np.int64(15), np.int64(16)], np.float64(16.3292288658803))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(10.610129736245334))","([np.int64(10), np.int64(22), np.int64(30), np.int64(32), np.int64(39)], np.float64(15.823261440884389))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(10.864307115495548))","([np.int64(0), np.int64(3), np.int64(4), np.int64(5), np.int64(10), np.int64(27)], np.float64(16.385826284786322))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(10.831341229634818))","([np.int64(14), np.int64(20), np.int64(30), np.int64(34), np.int64(38), np.int64(49)], np.float64(16.36848358913138))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(11.231573574874083))","([np.int64(2), np.int64(11), np.int64(15), np.int64(35), np.int64(36)], np.float64(15.021001519798096))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(10.38311928123244))","([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(14.18129646885259))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(13.008656851048226))","([np.int64(7), np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(15.45544148218137))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(11.938884888621876))","([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(14.623297544064416))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(11.853248506365741))","([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(13.157235111884972))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(12.322107189901232))","([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(13.636983490138718))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(11.63513831078256))","([np.int64(9), np.int64(19), np.int64(31), np.int64(35), np.int64(46), np.int64(49)], np.float64(15.221349932949835))"
12,"([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(11.878871932608112))","([np.int64(3), np.int64(7), np.int64(12), np.int64(15), np.int64(37), np.int64(38), np.int64(43)], np.float64(19.493769344661743))"
13,"([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(10.882059467099198))","([np.int64(8), np.int64(10), np.int64(21), np.int64(31), np.int64(41)], np.float64(14.74453366917754))"
14,"([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(11.461279180873863))","([np.int64(6), np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(16.103609360386404))"
15,"([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(10.761067327748467))","([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(12.700682172857105))"
16,"([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(11.076852118517623))","([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(13.010058237457123))"
17,"([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(12.241819635937002))","([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(15.045999322147974))"
18,"([np.int64(6), np.int64(31), np.int64(39), np.int64(48)], np.float64(10.680091381387385))","([np.int64(6), np.int64(13), np.int64(28), np.int64(31), np.int64(32), np.int64(37), np.int64(39), np.int64(48)], np.float64(18.312400992985676))"
19,"([np.int64(0), np.int64(2), np.int64(19), np.int64(32)], np.float64(11.664783505363696))","([np.int64(0), np.int64(2), np.int64(19), np.int64(24), np.int64(32), np.int64(47)], np.float64(15.544445103073725))"
20,"([np.int64(4), np.int64(7), np.int64(15), np.int64(28)], np.float64(12.989843949100308))","([np.int64(4), np.int64(7), np.int64(15), np.int64(28), np.int64(40)], np.float64(16.269750729896398))"
21,"([np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(11.389737120390548))","([np.int64(13), np.int64(15), np.int64(18), np.int64(30), np.int64(41)], np.float64(14.08065879087085))"
22,"([np.int64(4), np.int64(6), np.int64(11), np.int64(46)], np.float64(12.32775763197589))","([np.int64(4), np.int64(6), np.int64(11), np.int64(12), np.int64(46)], np.float64(15.981865602180848))"
23,"([np.int64(0), np.int64(6), np.int64(31), np.int64(42)], np.float64(11.94844567466549))","([np.int64(0), np.int64(6), np.int64(25), np.int64(31), np.int64(36), np.int64(42)], np.float64(16.64123994655443))"
24,"([np.int64(1), np.int64(8), np.int64(14), np.int64(37)], np.float64(10.59206660014346))","([np.int64(1), np.int64(8), np.int64(14), np.int64(19), np.int64(37)], np.float64(17.18087243793099))"
25,"([np.int64(2), np.int64(13), np.int64(20), np.int64(26)], np.float64(10.37717317168123))","([np.int64(2), np.int64(13), np.int64(20), np.int64(26), np.int64(27), np.int64(39)], np.float64(17.1387072307004))"
26,"([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(11.565228480099005))","([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(13.51540965205256))"
27,"([np.int64(6), np.int64(9), np.int64(19), np.int64(44)], np.float64(10.870892690194818))","([np.int64(6), np.int64(9), np.int64(19), np.int64(44)], np.float64(14.329608144713594))"
28,"([np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(11.362473617402186))","([np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(13.388927344776505))"
29,"([np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(10.42637589527558))","([np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(14.859191336303237))"
30,"([np.int64(20), np.int64(21), np.int64(34), np.int64(35)], np.float64(11.022003123090903))","([np.int64(20), np.int64(21), np.int64(22), np.int64(34), np.int64(35)], np.float64(14.080594828592737))"
31,"([np.int64(13), np.int64(26), np.int64(28), np.int64(37)], np.float64(12.139533226276471))","([np.int64(13), np.int64(26), np.int64(28), np.int64(37)], np.float64(15.532164611555261))"
32,"([np.int64(8), np.int64(9), np.int64(26), np.int64(37)], np.float64(11.156329130904703))","([np.int64(8), np.int64(9), np.int64(26), np.int64(37)], np.float64(14.89590300500562))"
33,"([np.int64(5), np.int64(23), np.int64(44), np.int64(45)], np.float64(11.395639319247667))","([np.int64(5), np.int64(16), np.int64(23), np.int64(44), np.int64(45)], np.float64(16.05941105650476))"
34,"([np.int64(2), np.int64(11), np.int64(21), np.int64(24)], np.float64(11.213400702843556))","([np.int64(2), np.int64(11), np.int64(21), np.int64(24)], np.float64(12.619734699403622))"
35,"([np.int64(7), np.int64(30), np.int64(47), np.int64(49)], np.float64(11.697507815067683))","([np.int64(7), np.int64(30), np.int64(39), np.int64(47), np.int64(49)], np.float64(15.660270113547073))"
36,"([np.int64(11), np.int64(17), np.int64(35), np.int64(41)], np.float64(10.989374771747075))","([np.int64(1), np.int64(11), np.int64(17), np.int64(35), np.int64(41)], np.float64(14.955890666049818))"
37,"([np.int64(4), np.int64(15), np.int64(24), np.int64(44)], np.float64(11.245814915478674))","([np.int64(4), np.int64(15), np.int64(24), np.int64(30), np.int64(44)], np.float64(14.70610597673275))"
38,"([np.int64(20), np.int64(25), np.int64(26), np.int64(28)], np.float64(11.761357626282146))","([np.int64(20), np.int64(25), np.int64(26), np.int64(28), np.int64(42)], np.float64(14.62725441893348))"
39,"([np.int64(5), np.int64(21), np.int64(25), np.int64(43)], np.float64(11.424836962329538))","([np.int64(5), np.int64(6), np.int64(21), np.int64(24), np.int64(25), np.int64(27), np.int64(43), np.int64(45)], np.float64(17.669060232720177))"
40,"([np.int64(29), np.int64(33), np.int64(35), np.int64(44)], np.float64(11.064158592958414))","([np.int64(29), np.int64(33), np.int64(35), np.int64(44)], np.float64(13.13283536516077))"
41,"([np.int64(3), np.int64(6), np.int64(11), np.int64(14)], np.float64(11.650910427852187))","([np.int64(3), np.int64(6), np.int64(11), np.int64(14), np.int64(22)], np.float64(14.691810894812283))"
42,"([np.int64(6), np.int64(15), np.int64(43), np.int64(49)], np.float64(11.963114688288385))","([np.int64(6), np.int64(15), np.int64(40), np.int64(43), np.int64(49)], np.float64(15.422696190348102))"
43,"([np.int64(24), np.int64(30), np.int64(35), np.int64(45)], np.float64(10.574182550456197))","([np.int64(24), np.int64(30), np.int64(35), np.int64(45)], np.float64(14.922300635492029))"
44,"([np.int64(16), np.int64(22), np.int64(38), np.int64(46)], np.float64(11.946003716014918))","([np.int64(16), np.int64(22), np.int64(38), np.int64(46)], np.float64(13.349054627291142))"
45,"([np.int64(8), np.int64(19), np.int64(26), np.int64(45)], np.float64(10.673464747547952))","([np.int64(8), np.int64(19), np.int64(26), np.int64(45)], np.float64(14.152292657446194))"
46,"([np.int64(0), np.int64(10), np.int64(15), np.int64(16)], np.float64(11.722185832154821))","([np.int64(0), np.int64(10), np.int64(15), np.int64(16)], np.float64(14.217492903465425))"
47,"([np.int64(1), np.int64(10), np.int64(13), np.int64(48)], np.float64(11.448939776381495))","([np.int64(1), np.int64(10), np.int64(13), np.int64(35), np.int64(48)], np.float64(16.052578120877243))"
48,"([np.int64(0), np.int64(20), np.int64(24), np.int64(42)], np.float64(11.397776636380287))","([np.int64(0), np.int64(20), np.int64(24), np.int64(39), np.int64(42)], np.float64(15.386266596099798))"
49,"([np.int64(0), np.int64(21), np.int64(26), np.int64(30)], np.float64(11.115162557267949))","([np.int64(0), np.int64(21), np.int64(24), np.int64(26), np.int64(30)], np.float64(15.669651452295282))"
