run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(20.402984213898495))","([np.int64(2), np.int64(3), np.int64(9), np.int64(13), np.int64(15), np.int64(41)], np.float64(23.372085756976062))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(20.341258283296366))","([np.int64(10), np.int64(22), np.int64(30), np.int64(39), np.int64(41)], np.float64(21.939641857410223))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(19.548113446999363))","([np.int64(0), np.int64(4), np.int64(5), np.int64(7), np.int64(26), np.int64(27), np.int64(30)], np.float64(23.77713572712854))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(17.89221990582912))","([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(19.318681344272))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(20), np.int64(36)], np.float64(25.71262252884874))","([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(20.461558169736342))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(21.084788392077762))","([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(19.805525545968354))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(22.276671586960354))","([np.int64(13), np.int64(17), np.int64(29), np.int64(39), np.int64(45)], np.float64(24.84319911111394))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(20.53467851227388))","([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(21.71578729307528))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(21.306384181869937))","([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(20.526530850428177))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(22.117204066856846))","([np.int64(3), np.int64(7), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(24.582143322812467))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(20.245691873212202))","([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(20.11960711852366))"
12,"([np.int64(7), np.int64(15), np.int64(38), np.int64(43), np.int64(47)], np.float64(23.61098293035443))","([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(21.7082117189299))"
13,"([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(19.417652939419288))","([np.int64(8), np.int64(10), np.int64(31), np.int64(34), np.int64(41)], np.float64(21.684426923075726))"
14,"([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(20.099791207706073))","([np.int64(1), np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(22.111536276356013))"
15,"([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(18.83069425328327))","([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(19.692695322977546))"
16,"([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(19.658787219460628))","([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(20.030275616581697))"
