run_id,LassoNet,XGBoost,RF
0,"([np.int64(0), np.int64(1), np.int64(4), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(15), np.int64(16), np.int64(19), np.int64(24), np.int64(28), np.int64(29), np.int64(31), np.int64(34), np.int64(36), np.int64(38), np.int64(43), np.int64(45), np.int64(47), np.int64(48)], np.float64(584.4665296426356))","([np.int64(20), np.int64(29), np.int64(32), np.int64(43), np.int64(45)], np.float64(663.9902496324262))","([np.int64(0), np.int64(1), np.int64(4), np.int64(5), np.int64(8), np.int64(10), np.int64(16), np.int64(17), np.int64(18), np.int64(20), np.int64(24), np.int64(29), np.int64(32), np.int64(39), np.int64(43), np.int64(45)], np.float64(501.2388557280167))"
1,"([np.int64(0), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(8), np.int64(15), np.int64(20), np.int64(26), np.int64(30), np.int64(33), np.int64(35), np.int64(41), np.int64(43), np.int64(44), np.int64(49)], np.float64(652.4768546865928))","([], np.float64(684.4241089908442))","([np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(13), np.int64(27), np.int64(30), np.int64(31), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(41), np.int64(45)], np.float64(544.8039735351297))"
2,"([np.int64(2), np.int64(4), np.int64(6), np.int64(8), np.int64(13), np.int64(14), np.int64(16), np.int64(17), np.int64(22), np.int64(25), np.int64(26), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(40), np.int64(41), np.int64(43), np.int64(44), np.int64(45), np.int64(47)], np.float64(585.890866646201))","([np.int64(31), np.int64(36), np.int64(43)], np.float64(804.0802816642916))","([np.int64(2), np.int64(4), np.int64(8), np.int64(9), np.int64(11), np.int64(13), np.int64(14), np.int64(17), np.int64(18), np.int64(22), np.int64(26), np.int64(27), np.int64(31), np.int64(33), np.int64(36), np.int64(43)], np.float64(472.7860624713642))"
3,"([np.int64(0), np.int64(1), np.int64(4), np.int64(7), np.int64(11), np.int64(14), np.int64(16), np.int64(17), np.int64(18), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(36), np.int64(38), np.int64(40), np.int64(41), np.int64(49)], np.float64(602.0795707363542))","([np.int64(43), np.int64(44), np.int64(46)], np.float64(762.1174099937078))","([np.int64(0), np.int64(11), np.int64(13), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(26), np.int64(27), np.int64(29), np.int64(37), np.int64(40), np.int64(43), np.int64(44), np.int64(46)], np.float64(489.3113899068321))"
4,"([np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(14), np.int64(15), np.int64(18), np.int64(19), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(33), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(46), np.int64(47), np.int64(48), np.int64(49)], np.float64(520.996282807108))","([np.int64(18), np.int64(43)], np.float64(876.8666148129312))","([np.int64(3), np.int64(4), np.int64(6), np.int64(8), np.int64(10), np.int64(12), np.int64(15), np.int64(18), np.int64(28), np.int64(31), np.int64(32), np.int64(38), np.int64(41), np.int64(43)], np.float64(487.6057167948801))"
5,"([np.int64(1), np.int64(3), np.int64(6), np.int64(7), np.int64(10), np.int64(14), np.int64(16), np.int64(18), np.int64(20), np.int64(28), np.int64(33), np.int64(34), np.int64(38), np.int64(40), np.int64(44), np.int64(48), np.int64(49)], np.float64(650.1384827897494))","([np.int64(25), np.int64(37), np.int64(40), np.int64(48)], np.float64(881.5954641028208))","([np.int64(4), np.int64(8), np.int64(9), np.int64(10), np.int64(16), np.int64(18), np.int64(19), np.int64(20), np.int64(25), np.int64(28), np.int64(31), np.int64(37), np.int64(40), np.int64(41), np.int64(45), np.int64(48)], np.float64(541.1206300583764))"
6,"([np.int64(0), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(10), np.int64(14), np.int64(16), np.int64(18), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(36), np.int64(38), np.int64(39), np.int64(40), np.int64(42), np.int64(43), np.int64(44), np.int64(46), np.int64(47), np.int64(48), np.int64(49)], np.float64(544.8614874273848))","([np.int64(36)], np.float64(897.7847768070174))","([np.int64(0), np.int64(9), np.int64(10), np.int64(16), np.int64(21), np.int64(25), np.int64(26), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(44), np.int64(49)], np.float64(465.6990368694328))"
7,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(16), np.int64(18), np.int64(19), np.int64(25), np.int64(26), np.int64(27), np.int64(31), np.int64(33), np.int64(37), np.int64(40), np.int64(43), np.int64(45), np.int64(48)], np.float64(582.4324861801246))","([np.int64(47)], np.float64(848.0187326788599))","([np.int64(0), np.int64(1), np.int64(3), np.int64(5), np.int64(12), np.int64(18), np.int64(19), np.int64(24), np.int64(27), np.int64(33), np.int64(38), np.int64(40), np.int64(43), np.int64(47)], np.float64(509.6360261590251))"
8,"([np.int64(3), np.int64(6), np.int64(7), np.int64(10), np.int64(16), np.int64(17), np.int64(18), np.int64(21), np.int64(22), np.int64(25), np.int64(26), np.int64(29), np.int64(30), np.int64(32), np.int64(36), np.int64(38), np.int64(41)], np.float64(730.8106778618708))","([np.int64(41), np.int64(49)], np.float64(1033.396746288665))","([np.int64(1), np.int64(10), np.int64(17), np.int64(28), np.int64(29), np.int64(30), np.int64(33), np.int64(41), np.int64(44), np.int64(47), np.int64(49)], np.float64(557.7954599460692))"
9,"([np.int64(0), np.int64(3), np.int64(5), np.int64(11), np.int64(12), np.int64(14), np.int64(15), np.int64(17), np.int64(18), np.int64(21), np.int64(23), np.int64(24), np.int64(29), np.int64(30), np.int64(31), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(44), np.int64(46), np.int64(47), np.int64(48), np.int64(49)], np.float64(580.1543699516549))","([np.int64(49)], np.float64(918.7846497720914))","([np.int64(5), np.int64(6), np.int64(10), np.int64(13), np.int64(15), np.int64(17), np.int64(18), np.int64(21), np.int64(27), np.int64(29), np.int64(34), np.int64(41), np.int64(45), np.int64(46), np.int64(49)], np.float64(499.2021669770853))"
