run_id,LassoNet,XGBoost,RF
0,"([np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(12), np.int64(15), np.int64(16), np.int64(17), np.int64(20), np.int64(21), np.int64(26), np.int64(28), np.int64(30), np.int64(31), np.int64(38), np.int64(39), np.int64(41)], np.float64(56.961455352421865))","([np.int64(5), np.int64(7), np.int64(8), np.int64(20), np.int64(21), np.int64(31), np.int64(41)], np.float64(132.2050926589419))","([np.int64(0), np.int64(5), np.int64(7), np.int64(8), np.int64(20), np.int64(21), np.int64(31), np.int64(41)], np.float64(130.50481766606913))"
1,"([np.int64(0), np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(8), np.int64(11), np.int64(13), np.int64(18), np.int64(19), np.int64(21), np.int64(23), np.int64(25), np.int64(26), np.int64(35), np.int64(38), np.int64(41), np.int64(42), np.int64(43), np.int64(47), np.int64(48), np.int64(49)], np.float64(69.73539408995512))","([np.int64(18), np.int64(26), np.int64(38), np.int64(42), np.int64(43), np.int64(48)], np.float64(148.47602686362436))","([np.int64(2), np.int64(6), np.int64(18), np.int64(21), np.int64(26), np.int64(38), np.int64(42), np.int64(43), np.int64(48)], np.float64(148.3337912400759))"
2,"([np.int64(1), np.int64(3), np.int64(4), np.int64(8), np.int64(13), np.int64(14), np.int64(16), np.int64(18), np.int64(25), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(36), np.int64(40), np.int64(42), np.int64(45), np.int64(48)], np.float64(155.68532180632778))","([np.int64(7), np.int64(14), np.int64(29), np.int64(42), np.int64(45), np.int64(49)], np.float64(154.39885361280793))","([np.int64(1), np.int64(7), np.int64(13), np.int64(14), np.int64(16), np.int64(29), np.int64(42), np.int64(45), np.int64(49)], np.float64(151.94694720840818))"
3,"([np.int64(1), np.int64(3), np.int64(11), np.int64(12), np.int64(13), np.int64(18), np.int64(20), np.int64(23), np.int64(25), np.int64(33), np.int64(34), np.int64(37), np.int64(38), np.int64(40), np.int64(41), np.int64(43), np.int64(45), np.int64(47)], np.float64(67.86243500998187))","([np.int64(1), np.int64(3), np.int64(13), np.int64(20), np.int64(33), np.int64(35), np.int64(41), np.int64(43), np.int64(45)], np.float64(119.69540649710491))","([np.int64(1), np.int64(3), np.int64(13), np.int64(20), np.int64(28), np.int64(33), np.int64(38), np.int64(41), np.int64(43), np.int64(45)], np.float64(152.29136034126674))"
4,"([np.int64(0), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(12), np.int64(14), np.int64(18), np.int64(21), np.int64(25), np.int64(27), np.int64(28), np.int64(31), np.int64(33), np.int64(35), np.int64(36), np.int64(41), np.int64(43), np.int64(45), np.int64(46)], np.float64(64.56609882267003))","([np.int64(3), np.int64(6), np.int64(7), np.int64(35), np.int64(36), np.int64(41), np.int64(45), np.int64(46)], np.float64(102.15389371418179))","([np.int64(3), np.int64(6), np.int64(7), np.int64(28), np.int64(35), np.int64(36), np.int64(41), np.int64(45), np.int64(46)], np.float64(150.9396855746753))"
5,"([np.int64(0), np.int64(5), np.int64(10), np.int64(12), np.int64(13), np.int64(14), np.int64(16), np.int64(17), np.int64(19), np.int64(20), np.int64(22), np.int64(24), np.int64(26), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(35), np.int64(36), np.int64(37), np.int64(39), np.int64(40), np.int64(41), np.int64(43), np.int64(46), np.int64(48), np.int64(49)], np.float64(66.45140029099453))","([np.int64(26), np.int64(29), np.int64(31), np.int64(32), np.int64(35)], np.float64(184.35970972629312))","([np.int64(0), np.int64(5), np.int64(10), np.int64(20), np.int64(22), np.int64(26), np.int64(29), np.int64(31), np.int64(32), np.int64(35)], np.float64(152.6542148972553))"
6,"([np.int64(4), np.int64(9), np.int64(10), np.int64(13), np.int64(16), np.int64(18), np.int64(20), np.int64(32), np.int64(38), np.int64(43), np.int64(47)], np.float64(88.43140671416526))","([np.int64(9), np.int64(10), np.int64(13), np.int64(16), np.int64(20), np.int64(32), np.int64(47)], np.float64(146.8127947417852))","([np.int64(4), np.int64(9), np.int64(10), np.int64(13), np.int64(16), np.int64(20), np.int64(32), np.int64(43), np.int64(47)], np.float64(142.63809403917793))"
7,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(8), np.int64(21), np.int64(22), np.int64(26), np.int64(27), np.int64(33), np.int64(36), np.int64(40), np.int64(41), np.int64(43), np.int64(45), np.int64(47), np.int64(48)], np.float64(88.75910912948189))","([np.int64(21), np.int64(26), np.int64(27), np.int64(33), np.int64(36), np.int64(40), np.int64(47)], np.float64(141.54263334851566))","([np.int64(8), np.int64(21), np.int64(26), np.int64(27), np.int64(33), np.int64(36), np.int64(40), np.int64(47)], np.float64(148.58851231286343))"
8,"([np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(12), np.int64(13), np.int64(17), np.int64(18), np.int64(19), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(48), np.int64(49)], np.float64(62.33749784242826))","([np.int64(22), np.int64(32), np.int64(35), np.int64(44), np.int64(45)], np.float64(207.93737473262496))","([np.int64(4), np.int64(8), np.int64(18), np.int64(22), np.int64(30), np.int64(32), np.int64(35), np.int64(44), np.int64(45)], np.float64(142.22302094667697))"
9,"([np.int64(1), np.int64(7), np.int64(8), np.int64(9), np.int64(12), np.int64(13), np.int64(14), np.int64(17), np.int64(20), np.int64(25), np.int64(26), np.int64(28), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(46)], np.float64(75.66430784303941))","([np.int64(13), np.int64(17), np.int64(20), np.int64(36), np.int64(41), np.int64(43), np.int64(44)], np.float64(153.01782737191732))","([np.int64(7), np.int64(9), np.int64(13), np.int64(17), np.int64(20), np.int64(36), np.int64(41), np.int64(43), np.int64(44)], np.float64(151.94980035780134))"
10,"([np.int64(3), np.int64(7), np.int64(11), np.int64(12), np.int64(14), np.int64(17), np.int64(18), np.int64(20), np.int64(26), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(43), np.int64(45), np.int64(46), np.int64(47), np.int64(49)], np.float64(62.54133370272066))","([np.int64(12), np.int64(26), np.int64(30), np.int64(31), np.int64(39), np.int64(43), np.int64(49)], np.float64(130.59326068258594))","([np.int64(11), np.int64(12), np.int64(26), np.int64(30), np.int64(31), np.int64(39), np.int64(43), np.int64(49)], np.float64(138.17893531566136))"
11,"([np.int64(0), np.int64(4), np.int64(5), np.int64(6), np.int64(8), np.int64(14), np.int64(17), np.int64(18), np.int64(22), np.int64(24), np.int64(28), np.int64(29), np.int64(33), np.int64(36), np.int64(39), np.int64(40), np.int64(42), np.int64(47)], np.float64(116.73291918326652))","([np.int64(14), np.int64(17), np.int64(28), np.int64(29), np.int64(39), np.int64(42), np.int64(47)], np.float64(138.31219562252983))","([np.int64(5), np.int64(14), np.int64(17), np.int64(28), np.int64(29), np.int64(39), np.int64(42), np.int64(47)], np.float64(149.5819356197678))"
12,"([np.int64(0), np.int64(5), np.int64(6), np.int64(7), np.int64(10), np.int64(13), np.int64(15), np.int64(21), np.int64(23), np.int64(28), np.int64(36), np.int64(37), np.int64(38), np.int64(48)], np.float64(160.56770073002465))","([np.int64(7), np.int64(10), np.int64(14), np.int64(21), np.int64(23), np.int64(31), np.int64(37), np.int64(46)], np.float64(145.251037644347))","([np.int64(0), np.int64(7), np.int64(10), np.int64(14), np.int64(21), np.int64(23), np.int64(31), np.int64(37)], np.float64(144.29504039865785))"
