run_id,harderLASSO ANN,LASSO ANN
0,"([3, 4, 11, 16, 19, 23, 29, 30, 35, 36, 42], np.float64(97.0527542921699))","([], np.float64(470.63274243100705))"
1,"([1, 2, 5, 8, 13, 15, 20, 31, 37, 42, 43, 47], np.float64(117.91712373863392))","([], np.float64(434.1503131445945))"
2,"([2, 3, 4, 5, 11, 16, 17, 26, 31, 40, 41, 42, 43], np.float64(41.47431733229873))","([], np.float64(453.1739486994495))"
3,"([10, 11, 13, 16, 25, 28, 33, 37, 48, 49], np.float64(181.7584958209152))","([], np.float64(445.9838784345023))"
4,"([0, 6, 14, 15, 20, 29, 30, 36, 48], np.float64(200.35929327904847))","([], np.float64(410.58713237252016))"
5,"([16, 19, 23, 24, 31, 33, 35, 38, 42, 43, 45, 48], np.float64(120.02420904644758))","([], np.float64(444.4300727463379))"
6,"([5, 6, 7, 9, 16, 19, 26, 30, 34, 43, 45], np.float64(100.55107944759834))","([], np.float64(385.289975433189))"
7,"([10, 11, 18, 22, 23, 37, 39, 44, 46], np.float64(177.6758330412997))","([], np.float64(402.3124828708565))"
8,"([5, 10, 12, 14, 16, 30, 33, 48], np.float64(160.8577379325943))","([], np.float64(450.7362283802461))"
9,"([0, 2, 9, 18, 21, 27, 44, 46], np.float64(178.76265931225686))","([], np.float64(409.2736869431927))"
10,"([1, 8, 18, 19, 21, 25, 35, 45], np.float64(175.81133641200032))","([], np.float64(433.02966443779735))"
11,"([14, 17, 33, 41, 45, 48], np.float64(222.99969841477136))","([], np.float64(439.15253013952696))"
12,"([4, 15, 19, 31, 34, 35, 36, 49], np.float64(173.03262273726259))","([], np.float64(480.3637694746025))"
13,"([2, 29, 30, 33, 39, 43], np.float64(231.88102493046387))","([], np.float64(439.9696207363098))"
14,"([2, 3, 4, 8, 12, 20, 21, 22, 23, 27, 33, 42], np.float64(8.336137367316867))","([], np.float64(458.5648864594342))"
15,"([0, 2, 3, 7, 11, 14, 33, 41, 45, 46], np.float64(96.18366623083979))","([], np.float64(443.7797459509453))"
16,"([1, 4, 5, 10, 12, 18, 29, 30, 37, 45], np.float64(94.29697398966793))","([], np.float64(435.15055746916846))"
17,"([2, 4, 22, 27, 35, 40, 41, 49], np.float64(144.02442701304687))","([], np.float64(413.9317563823353))"
