run_id,harderLASSO ANN,LASSO ANN
0,"([0, 5, 7, 8, 20, 21, 31, 41], np.float64(15.498393155177135))","([], np.float64(262.60785334682083))"
1,"([2, 18, 21, 26, 42, 48], np.float64(90.68561556813586))","([], np.float64(294.2281385357372))"
2,"([1, 7, 13, 14, 29, 42, 45, 49], np.float64(8.616737654970294))","([], np.float64(300.4889464342581))"
3,"([1, 3, 13, 20, 33, 41, 43, 45], np.float64(10.047110500956546))","([], np.float64(286.1750951255162))"
4,"([3, 7, 35, 41, 45, 46], np.float64(82.09888032273025))","([], np.float64(305.4374712728444))"
5,"([0, 10, 20, 26, 29, 31, 32, 35], np.float64(15.487328190346153))","([], np.float64(274.6026002872045))"
6,"([4, 9, 10, 13, 16, 20, 32, 47], np.float64(9.985914252494902))","([], np.float64(289.162620985409))"
7,"([8, 21, 33, 36, 40, 47], np.float64(89.33098803766832))","([], np.float64(274.50739410499716))"
8,"([8, 22, 24, 32, 35, 44], np.float64(155.27936846715752))","([], np.float64(287.96395015005277))"
9,"([9, 13, 17, 20, 36, 41, 43, 44], np.float64(9.57070512588073))","([], np.float64(283.0375158486208))"
10,"([12, 30, 31, 39, 43, 49], np.float64(89.93293681146156))","([], np.float64(273.6300191097612))"
11,"([5, 14, 17, 28, 29, 39, 42, 47], np.float64(10.095297357947322))","([], np.float64(290.41530598589))"
12,"([0, 7, 10, 21, 23, 37], np.float64(86.3368040850012))","([], np.float64(283.58016067220956))"
13,"([1, 6, 9, 35, 37, 39], np.float64(91.16997569669861))","([], np.float64(311.15016643614297))"
14,"([7, 9, 13, 39], np.float64(152.49991789916479))","([], np.float64(289.00452675777683))"
15,"([2, 10, 18, 26, 28, 32, 36, 43], np.float64(79.55275605462671))","([], np.float64(261.78814157787366))"
16,"([0, 2, 5, 11, 13, 18, 22, 37], np.float64(10.231485215596676))","([], np.float64(301.32574498853097))"
17,"([4, 11, 22, 27, 40, 43, 44, 45], np.float64(3.638183509866356))","([], np.float64(286.17154754171446))"
18,"([5, 14, 24, 38, 40, 44], np.float64(87.04572957265913))","([], np.float64(296.6278507093645))"
19,"([1, 5, 16, 21, 24, 27, 37], np.float64(167.68921306593683))","([], np.float64(283.90736372546854))"
20,"([3, 7, 15, 16, 17, 23, 31], np.float64(74.47752801005664))","([7, 15], np.float64(271.41322986027654))"
21,"([0, 4, 6, 15, 32, 41, 46], np.float64(94.53218934844878))","([], np.float64(325.0750834846119))"
22,"([7, 18, 20, 21, 30, 32, 41, 49], np.float64(9.436063320300695))","([], np.float64(273.64589922278935))"
23,"([11, 16, 19, 25, 30, 39], np.float64(98.7302611510331))","([], np.float64(326.07265675367086))"
24,"([3, 7, 10, 17, 19, 33], np.float64(88.59707197283001))","([], np.float64(281.0132420046414))"
25,"([1, 2, 16, 40, 42, 47], np.float64(80.74270914156395))","([], np.float64(304.1829421867685))"
