run_id,harderLASSO ANN,LASSO ANN
0,"([4, 18, 29, 40], np.float64(82.14000306355275))","([], np.float64(219.60076733477302))"
1,"([0, 7, 9, 39, 45, 47], np.float64(0.10543813837317352))","([], np.float64(222.01292277897804))"
2,"([12, 26, 33, 36, 37, 44], np.float64(0.0825344933944493))","([], np.float64(220.49656583689048))"
3,"([8, 14, 29, 43, 46, 49], np.float64(5.1419390298636865))","([], np.float64(221.19774810812726))"
4,"([11, 16, 20, 37, 39, 49], np.float64(12.964382960251626))","([], np.float64(202.6253267664071))"
5,"([3, 9, 40, 43, 45], np.float64(71.00992926435327))","([], np.float64(233.76893911402726))"
6,"([1, 22, 32, 37, 40, 43], np.float64(5.513082767720312))","([22, 43], np.float64(203.28153138645797))"
7,"([9, 17, 25, 30, 38, 41], np.float64(4.6852297878677245))","([], np.float64(211.93786321603775))"
8,"([23, 31, 32, 42], np.float64(70.711753183595))","([23], np.float64(201.20589603258418))"
9,"([5, 9, 34, 37], np.float64(81.49621216470341))","([], np.float64(215.19387135890935))"
10,"([12, 18, 21, 31, 44, 46], np.float64(11.50948537867202))","([], np.float64(221.733768570551))"
11,"([12, 18, 19, 20, 40], np.float64(84.6134891181259))","([], np.float64(216.2147212295249))"
12,"([4, 18, 25, 37, 43, 49], np.float64(9.557252065630536))","([], np.float64(216.71142169682372))"
13,"([3, 37, 38, 40, 46, 48], np.float64(12.68230448072049))","([], np.float64(222.85700127860812))"
14,"([9, 15, 20, 34, 36, 39], np.float64(13.286153271187766))","([], np.float64(201.8105066729711))"
15,"([3, 18, 21, 33, 45], np.float64(70.6842843429261))","([], np.float64(215.95680826760506))"
16,"([5, 9, 15, 16, 27, 38], np.float64(11.356989731684784))","([], np.float64(215.9408141828173))"
17,"([10, 14, 34, 36, 45, 48], np.float64(12.78660185639343))","([], np.float64(227.22081396002213))"
18,"([4, 5, 6, 12, 33, 44], np.float64(11.900333528582767))","([], np.float64(210.84203297776497))"
19,"([2, 18, 21, 41, 43, 44], np.float64(83.65590579023144))","([], np.float64(205.97319601261026))"
20,"([1, 5, 19, 31, 32, 44], np.float64(4.431149045091485))","([], np.float64(225.4789627209014))"
21,"([9, 12, 16, 23, 38, 46], np.float64(4.4468156695322625))","([16, 38], np.float64(180.82999815277125))"
