run_id,LassoNet,XGBoost,RF
0,"([np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(9), np.int64(18), np.int64(21), np.int64(23), np.int64(27), np.int64(29), np.int64(30), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(48)], np.float64(40.388626310610576))","([np.int64(4), np.int64(5), np.int64(18), np.int64(29), np.int64(38), np.int64(40)], np.float64(61.49553349076328))","([np.int64(4), np.int64(5), np.int64(18), np.int64(27), np.int64(29), np.int64(38), np.int64(39), np.int64(40)], np.float64(87.25051032957712))"
1,"([np.int64(0), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(17), np.int64(22), np.int64(29), np.int64(30), np.int64(31), np.int64(39), np.int64(41), np.int64(43), np.int64(45), np.int64(47)], np.float64(41.00653250729708))","([np.int64(7), np.int64(9), np.int64(39), np.int64(45), np.int64(47)], np.float64(107.53759840881737))","([np.int64(0), np.int64(7), np.int64(9), np.int64(17), np.int64(21), np.int64(38), np.int64(39), np.int64(45), np.int64(47)], np.float64(101.64715508035466))"
2,"([np.int64(0), np.int64(5), np.int64(7), np.int64(8), np.int64(12), np.int64(18), np.int64(21), np.int64(23), np.int64(25), np.int64(26), np.int64(28), np.int64(29), np.int64(33), np.int64(36), np.int64(37), np.int64(44), np.int64(45)], np.float64(45.15471352093797))","([np.int64(12), np.int64(26), np.int64(33), np.int64(36), np.int64(37), np.int64(44)], np.float64(58.45859331403104))","([np.int64(12), np.int64(26), np.int64(33), np.int64(36), np.int64(37), np.int64(44), np.int64(49)], np.float64(94.24072633259898))"
3,"([np.int64(4), np.int64(5), np.int64(8), np.int64(11), np.int64(14), np.int64(17), np.int64(29), np.int64(40), np.int64(43), np.int64(46), np.int64(49)], np.float64(54.15122654870165))","([np.int64(8), np.int64(14), np.int64(29), np.int64(43), np.int64(46), np.int64(49)], np.float64(57.474230299119554))","([np.int64(8), np.int64(12), np.int64(14), np.int64(29), np.int64(43), np.int64(46), np.int64(49)], np.float64(89.21549489538371))"
4,"([np.int64(0), np.int64(2), np.int64(9), np.int64(11), np.int64(12), np.int64(16), np.int64(20), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(44), np.int64(49)], np.float64(43.31366083126573))","([np.int64(11), np.int64(16), np.int64(20), np.int64(37), np.int64(39), np.int64(49)], np.float64(55.48190106269341))","([np.int64(11), np.int64(16), np.int64(20), np.int64(37), np.int64(39), np.int64(49)], np.float64(75.7105247153205))"
5,"([np.int64(3), np.int64(4), np.int64(8), np.int64(9), np.int64(13), np.int64(17), np.int64(18), np.int64(21), np.int64(22), np.int64(26), np.int64(32), np.int64(37), np.int64(39), np.int64(40), np.int64(42), np.int64(43), np.int64(45), np.int64(49)], np.float64(38.99266917227488))","([np.int64(3), np.int64(9), np.int64(26), np.int64(36), np.int64(40), np.int64(43), np.int64(45)], np.float64(57.15568527343625))","([np.int64(3), np.int64(4), np.int64(9), np.int64(12), np.int64(14), np.int64(26), np.int64(33), np.int64(40), np.int64(41), np.int64(43), np.int64(45)], np.float64(105.68626230513969))"
6,"([np.int64(0), np.int64(1), np.int64(7), np.int64(8), np.int64(11), np.int64(14), np.int64(18), np.int64(22), np.int64(24), np.int64(32), np.int64(37), np.int64(40), np.int64(41), np.int64(43), np.int64(47), np.int64(48)], np.float64(59.57544191642325))","([np.int64(1), np.int64(22), np.int64(32), np.int64(37), np.int64(40), np.int64(43)], np.float64(66.21309771435702))","([np.int64(1), np.int64(22), np.int64(32), np.int64(37), np.int64(40), np.int64(43)], np.float64(96.6106582336221))"
7,"([np.int64(7), np.int64(9), np.int64(12), np.int64(17), np.int64(25), np.int64(30), np.int64(38), np.int64(39), np.int64(41), np.int64(47), np.int64(48)], np.float64(47.674158612623295))","([np.int64(9), np.int64(17), np.int64(25), np.int64(30), np.int64(38), np.int64(41)], np.float64(61.38299504906069))","([np.int64(9), np.int64(17), np.int64(25), np.int64(30), np.int64(38), np.int64(41)], np.float64(76.54041977844989))"
8,"([np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(8), np.int64(9), np.int64(12), np.int64(15), np.int64(17), np.int64(19), np.int64(21), np.int64(23), np.int64(25), np.int64(26), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(37), np.int64(38), np.int64(41), np.int64(42), np.int64(44), np.int64(45)], np.float64(38.11270022409458))","([np.int64(17), np.int64(21), np.int64(23), np.int64(31), np.int64(32), np.int64(42)], np.float64(59.0196915604283))","([np.int64(17), np.int64(21), np.int64(23), np.int64(31), np.int64(32), np.int64(42)], np.float64(78.81545359737004))"
9,"([np.int64(4), np.int64(5), np.int64(9), np.int64(10), np.int64(12), np.int64(14), np.int64(16), np.int64(22), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(34), np.int64(35), np.int64(37), np.int64(41), np.int64(43), np.int64(45), np.int64(49)], np.float64(43.85515330118078))","([np.int64(5), np.int64(9), np.int64(10), np.int64(34), np.int64(37), np.int64(45)], np.float64(62.30218778464515))","([np.int64(5), np.int64(9), np.int64(10), np.int64(27), np.int64(34), np.int64(37), np.int64(45)], np.float64(90.22380563176209))"
