run_id,LassoNet,XGBoost,RF
0,"([np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(9), np.int64(15), np.int64(16), np.int64(20), np.int64(21), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(31), np.int64(32), np.int64(34), np.int64(37), np.int64(38), np.int64(41), np.int64(48), np.int64(49)], np.float64(692.4505466359706))","([np.int64(44)], np.float64(954.9567426118243))","([np.int64(3), np.int64(4), np.int64(6), np.int64(8), np.int64(9), np.int64(15), np.int64(23), np.int64(26), np.int64(32), np.int64(35), np.int64(37), np.int64(38), np.int64(42), np.int64(44), np.int64(45), np.int64(49)], np.float64(591.8162057696616))"
1,"([np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(39), np.int64(40), np.int64(41), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(48)], np.float64(507.5383565572094))","([], np.float64(728.1925427579656))","([np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(12), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(40), np.int64(41), np.int64(48)], np.float64(592.6150925270736))"
2,"([np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(7), np.int64(12), np.int64(14), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(24), np.int64(25), np.int64(26), np.int64(28), np.int64(29), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(41), np.int64(42), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(49)], np.float64(656.7500499352831))","([np.int64(28)], np.float64(1000.2018404304647))","([np.int64(1), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(13), np.int64(14), np.int64(28), np.int64(29), np.int64(38), np.int64(41), np.int64(49)], np.float64(571.5367632838429))"
3,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(18), np.int64(19), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(30), np.int64(33), np.int64(34), np.int64(36), np.int64(38), np.int64(40), np.int64(41), np.int64(42), np.int64(44), np.int64(45), np.int64(47), np.int64(48)], np.float64(683.9960637224082))","([np.int64(18), np.int64(30), np.int64(42)], np.float64(990.0957088935143))","([np.int64(3), np.int64(9), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(18), np.int64(27), np.int64(28), np.int64(30), np.int64(33), np.int64(36), np.int64(39), np.int64(41), np.int64(42)], np.float64(633.520167198429))"
4,"([np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(10), np.int64(11), np.int64(14), np.int64(16), np.int64(18), np.int64(23), np.int64(27), np.int64(30), np.int64(31), np.int64(38), np.int64(39), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(48)], np.float64(697.6719535965121))","([], np.float64(709.9075626532228))","([np.int64(1), np.int64(5), np.int64(8), np.int64(11), np.int64(18), np.int64(24), np.int64(38), np.int64(46)], np.float64(675.764329673574))"
5,"([np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(13), np.int64(14), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(44), np.int64(46)], np.float64(568.1783314825723))","([np.int64(38), np.int64(43)], np.float64(1101.489514728154))","([np.int64(3), np.int64(6), np.int64(8), np.int64(16), np.int64(24), np.int64(25), np.int64(26), np.int64(38), np.int64(41), np.int64(43)], np.float64(603.7204736315065))"
6,"([np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(7), np.int64(8), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(18), np.int64(19), np.int64(21), np.int64(22), np.int64(23), np.int64(26), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(36), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(48), np.int64(49)], np.float64(630.1267775073326))","([np.int64(31), np.int64(36), np.int64(41)], np.float64(821.739228402263))","([np.int64(2), np.int64(6), np.int64(8), np.int64(10), np.int64(18), np.int64(26), np.int64(27), np.int64(30), np.int64(31), np.int64(33), np.int64(34), np.int64(36), np.int64(41), np.int64(44), np.int64(48), np.int64(49)], np.float64(609.541461907709))"
7,"([np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(27), np.int64(28), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(45), np.int64(46), np.int64(48), np.int64(49)], np.float64(639.0532231683821))","([np.int64(45)], np.float64(1072.1139636410512))","([np.int64(0), np.int64(7), np.int64(10), np.int64(12), np.int64(19), np.int64(21), np.int64(23), np.int64(24), np.int64(39), np.int64(41), np.int64(42), np.int64(45), np.int64(48)], np.float64(617.0307090829452))"
8,"([np.int64(0), np.int64(2), np.int64(7), np.int64(8), np.int64(10), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(27), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(36), np.int64(38), np.int64(39), np.int64(41), np.int64(42), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(49)], np.float64(642.2922339378252))","([np.int64(27), np.int64(29), np.int64(38), np.int64(49)], np.float64(800.0002841041978))","([np.int64(3), np.int64(6), np.int64(7), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(17), np.int64(27), np.int64(28), np.int64(29), np.int64(38), np.int64(41), np.int64(45), np.int64(49)], np.float64(550.2785797581596))"
9,"([np.int64(0), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(32), np.int64(33), np.int64(34), np.int64(36), np.int64(38), np.int64(39), np.int64(41), np.int64(42), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(48)], np.float64(737.9292004850797))","([np.int64(34), np.int64(43), np.int64(45)], np.float64(1026.0746543579355))","([np.int64(3), np.int64(4), np.int64(19), np.int64(21), np.int64(28), np.int64(31), np.int64(34), np.int64(41), np.int64(44), np.int64(45)], np.float64(682.2052324637547))"
