run_id,LassoNet,XGBoost,RF
0,"([np.int64(1), np.int64(4), np.int64(9), np.int64(11), np.int64(12), np.int64(14), np.int64(15), np.int64(20), np.int64(25), np.int64(27), np.int64(30), np.int64(42), np.int64(47), np.int64(48), np.int64(49)], np.float64(5.285173596585969))","([np.int64(9), np.int64(12), np.int64(15), np.int64(20)], np.float64(25.92909453319669))","([np.int64(1), np.int64(9), np.int64(12), np.int64(15), np.int64(20), np.int64(25)], np.float64(44.65761062871705))"
1,"([np.int64(1), np.int64(2), np.int64(8), np.int64(10), np.int64(12), np.int64(18), np.int64(20), np.int64(22), np.int64(23), np.int64(28), np.int64(29), np.int64(30), np.int64(32), np.int64(36), np.int64(37), np.int64(38), np.int64(42), np.int64(44), np.int64(45)], np.float64(11.777528236672618))","([np.int64(20), np.int64(30), np.int64(36), np.int64(44)], np.float64(22.505361188939865))","([np.int64(12), np.int64(20), np.int64(30), np.int64(36), np.int64(42), np.int64(44)], np.float64(43.86650497292665))"
2,"([np.int64(2), np.int64(8), np.int64(12), np.int64(13), np.int64(16), np.int64(24), np.int64(38), np.int64(42), np.int64(47), np.int64(49)], np.float64(3.200090783553618))","([np.int64(2), np.int64(12), np.int64(24), np.int64(25), np.int64(38), np.int64(40)], np.float64(29.376748800431137))","([np.int64(2), np.int64(12), np.int64(24), np.int64(38)], np.float64(34.48737010591827))"
3,"([np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(12), np.int64(15), np.int64(16), np.int64(23), np.int64(24), np.int64(31), np.int64(32), np.int64(42), np.int64(46), np.int64(48), np.int64(49)], np.float64(5.068017545295593))","([np.int64(15), np.int64(23), np.int64(32), np.int64(36), np.int64(46)], np.float64(21.701507077029813))","([np.int64(15), np.int64(23), np.int64(26), np.int64(32), np.int64(46)], np.float64(35.09839129734239))"
4,"([np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(10), np.int64(14), np.int64(21), np.int64(22), np.int64(23), np.int64(25), np.int64(27), np.int64(30), np.int64(31), np.int64(33), np.int64(35), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(45), np.int64(46), np.int64(47), np.int64(49)], np.float64(9.688242654899922))","([np.int64(1), np.int64(4), np.int64(35), np.int64(39)], np.float64(21.804690155475082))","([np.int64(1), np.int64(4), np.int64(15), np.int64(35), np.int64(39)], np.float64(33.86669222012814))"
5,"([np.int64(3), np.int64(5), np.int64(6), np.int64(10), np.int64(14), np.int64(16), np.int64(21), np.int64(31), np.int64(32), np.int64(35), np.int64(39), np.int64(41), np.int64(45)], np.float64(4.869721405914106))","([np.int64(3), np.int64(5), np.int64(16), np.int64(35)], np.float64(19.418886324406678))","([np.int64(3), np.int64(5), np.int64(10), np.int64(16), np.int64(20), np.int64(35), np.int64(44)], np.float64(41.204883635702494))"
6,"([np.int64(3), np.int64(4), np.int64(8), np.int64(10), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(25), np.int64(26), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(37), np.int64(39), np.int64(46)], np.float64(6.627808756177628))","([np.int64(10), np.int64(16), np.int64(31), np.int64(35)], np.float64(20.505943335176774))","([np.int64(10), np.int64(16), np.int64(31), np.int64(35)], np.float64(35.07386430621309))"
7,"([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(7), np.int64(9), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(19), np.int64(20), np.int64(22), np.int64(23), np.int64(27), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(41), np.int64(45)], np.float64(8.820670690606315))","([np.int64(0), np.int64(2), np.int64(15), np.int64(35), np.int64(36)], np.float64(29.909641215464056))","([np.int64(0), np.int64(2), np.int64(15), np.int64(16), np.int64(22), np.int64(35)], np.float64(46.92972143911036))"
8,"([np.int64(0), np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(16), np.int64(19), np.int64(21), np.int64(22), np.int64(24), np.int64(27), np.int64(29), np.int64(30), np.int64(33), np.int64(46)], np.float64(5.1313072659289265))","([np.int64(1), np.int64(7), np.int64(29), np.int64(33), np.int64(49)], np.float64(26.737080810953266))","([np.int64(1), np.int64(7), np.int64(8), np.int64(29), np.int64(33)], np.float64(41.24352216216523))"
9,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(14), np.int64(16), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(25), np.int64(27), np.int64(29), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(37), np.int64(40), np.int64(42), np.int64(45), np.int64(47), np.int64(49)], np.float64(8.002738480576527))","([np.int64(21), np.int64(40), np.int64(45), np.int64(47)], np.float64(21.308897071566623))","([np.int64(6), np.int64(21), np.int64(27), np.int64(40), np.int64(45), np.int64(47)], np.float64(44.553847849918704))"
