run_id,LassoNet,XGBoost,RF
0,"([np.int64(1), np.int64(3), np.int64(8), np.int64(11), np.int64(12), np.int64(14), np.int64(15), np.int64(22), np.int64(26), np.int64(38), np.int64(39), np.int64(41), np.int64(45)], np.float64(530.1381631419335))","([np.int64(26), np.int64(27), np.int64(34)], np.float64(710.2738619389962))","([np.int64(1), np.int64(4), np.int64(8), np.int64(9), np.int64(15), np.int64(17), np.int64(18), np.int64(21), np.int64(24), np.int64(26), np.int64(27), np.int64(32), np.int64(34), np.int64(36), np.int64(41)], np.float64(429.4244775803587))"
1,"([np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(16), np.int64(18), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(40), np.int64(41), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(49)], np.float64(396.5790307611962))","([np.int64(40)], np.float64(799.2015885567973))","([np.int64(0), np.int64(2), np.int64(4), np.int64(6), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(18), np.int64(21), np.int64(23), np.int64(26), np.int64(34), np.int64(40)], np.float64(453.26890292897644))"
2,"([np.int64(0), np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(18), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(26), np.int64(28), np.int64(30), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(47), np.int64(48), np.int64(49)], np.float64(460.83456576063753))","([np.int64(37), np.int64(39), np.int64(41), np.int64(43), np.int64(48)], np.float64(612.7009505034068))","([np.int64(1), np.int64(6), np.int64(7), np.int64(8), np.int64(10), np.int64(14), np.int64(36), np.int64(37), np.int64(39), np.int64(41), np.int64(43), np.int64(48)], np.float64(444.47517009622493))"
3,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(20), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(30), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(44), np.int64(45), np.int64(47), np.int64(48), np.int64(49)], np.float64(472.90161818413696))","([np.int64(35), np.int64(38), np.int64(41), np.int64(44)], np.float64(669.7472944915586))","([np.int64(0), np.int64(3), np.int64(5), np.int64(14), np.int64(16), np.int64(17), np.int64(25), np.int64(29), np.int64(30), np.int64(35), np.int64(37), np.int64(38), np.int64(40), np.int64(41), np.int64(44), np.int64(48)], np.float64(419.6573967348109))"
4,"([np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(9), np.int64(14), np.int64(19), np.int64(21), np.int64(23), np.int64(24), np.int64(25), np.int64(33), np.int64(34), np.int64(38), np.int64(40), np.int64(41)], np.float64(584.6655675269865))","([np.int64(26), np.int64(33), np.int64(34)], np.float64(750.9732337203448))","([np.int64(1), np.int64(5), np.int64(8), np.int64(12), np.int64(13), np.int64(19), np.int64(20), np.int64(24), np.int64(26), np.int64(33), np.int64(34), np.int64(41)], np.float64(437.0889464859167))"
5,"([np.int64(3), np.int64(4), np.int64(5), np.int64(15), np.int64(16), np.int64(17), np.int64(21), np.int64(22), np.int64(24), np.int64(25), np.int64(27), np.int64(29), np.int64(32), np.int64(34), np.int64(35), np.int64(37), np.int64(41), np.int64(42), np.int64(43), np.int64(46)], np.float64(631.9499125627368))","([np.int64(34), np.int64(41), np.int64(43), np.int64(46)], np.float64(766.8484909116864))","([np.int64(2), np.int64(3), np.int64(6), np.int64(8), np.int64(19), np.int64(21), np.int64(22), np.int64(33), np.int64(34), np.int64(37), np.int64(41), np.int64(43), np.int64(46), np.int64(48)], np.float64(486.21180143174365))"
6,"([np.int64(3), np.int64(13), np.int64(15), np.int64(17), np.int64(19), np.int64(24), np.int64(30), np.int64(32), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(42), np.int64(44)], np.float64(608.346312085596))","([np.int64(41)], np.float64(895.7001721907368))","([np.int64(4), np.int64(9), np.int64(14), np.int64(15), np.int64(19), np.int64(26), np.int64(30), np.int64(32), np.int64(33), np.int64(34), np.int64(41), np.int64(46)], np.float64(436.858452037639))"
7,"([np.int64(2), np.int64(3), np.int64(5), np.int64(11), np.int64(14), np.int64(16), np.int64(28), np.int64(37)], np.float64(585.8457928221582))","([np.int64(37), np.int64(46)], np.float64(804.9916227749135))","([np.int64(6), np.int64(16), np.int64(26), np.int64(27), np.int64(28), np.int64(30), np.int64(37), np.int64(40), np.int64(42), np.int64(46), np.int64(49)], np.float64(464.4822712845852))"
8,"([np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(9), np.int64(13), np.int64(14), np.int64(28), np.int64(34), np.int64(38), np.int64(40), np.int64(44), np.int64(45)], np.float64(512.3462596902139))","([], np.float64(549.1732361427327))","([np.int64(0), np.int64(3), np.int64(5), np.int64(8), np.int64(12), np.int64(18), np.int64(22), np.int64(23), np.int64(35), np.int64(37), np.int64(38), np.int64(40), np.int64(44)], np.float64(439.62427680842774))"
9,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(48), np.int64(49)], np.float64(218.75816284761416))","([np.int64(12), np.int64(27), np.int64(30), np.int64(32), np.int64(34), np.int64(47)], np.float64(552.9190985127714))","([np.int64(1), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(12), np.int64(15), np.int64(19), np.int64(27), np.int64(30), np.int64(32), np.int64(34), np.int64(47)], np.float64(419.3520222407981))"
