run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(13.181555671673523))","([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(16.012401910035585))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(13.394465625999171))","([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(17.163994434513647))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(12.512388677058357))","([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(15.36922707428912))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(13.726358725016087))","([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(15.881247781578939))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(13.993398512020129))","([np.int64(2), np.int64(8), np.int64(11), np.int64(15), np.int64(36), np.int64(38)], np.float64(19.364314370563296))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(11.304090581521796))","([np.int64(5), np.int64(17), np.int64(24), np.int64(32), np.int64(41), np.int64(44)], np.float64(18.29705092545042))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45), np.int64(47)], np.float64(15.582407818129857))","([np.int64(13), np.int64(15), np.int64(17), np.int64(29), np.int64(42), np.int64(45), np.int64(47)], np.float64(20.466047372788363))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(14.05164177634726))","([np.int64(1), np.int64(10), np.int64(15), np.int64(19), np.int64(37), np.int64(48)], np.float64(19.834246499897205))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(14.112559748366827))","([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(15.303032961993013))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(14.036337027883343))","([np.int64(27), np.int64(29), np.int64(41), np.int64(42), np.int64(49)], np.float64(17.485443717667682))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(13.334460490074191))","([np.int64(4), np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(17.036950702118993))"
12,"([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(15.145783472921183))","([np.int64(3), np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(18.016519092834265))"
13,"([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(13.353819210270242))","([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(15.03101492275057))"
14,"([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(14.189669558517478))","([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(17.304034111657437))"
15,"([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(13.913795674483884))","([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(14.709022846914177))"
