run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(18.006794926522968))","([np.int64(2), np.int64(3), np.int64(13), np.int64(15), np.int64(36)], np.float64(20.061467051930755))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(18.176563657931933))","([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(19.051893729601215))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(16.214832742107056))","([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(17.854638122411526))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(16.559343845324037))","([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(17.38729129969114))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(19.089894330248725))","([np.int64(2), np.int64(8), np.int64(11), np.int64(15), np.int64(36)], np.float64(20.922863832708863))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(15.995942820907102))","([np.int64(5), np.int64(12), np.int64(17), np.int64(32), np.int64(33), np.int64(41), np.int64(44)], np.float64(21.802305550374143))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(18.989217659484222))","([np.int64(13), np.int64(17), np.int64(29), np.int64(32), np.int64(42), np.int64(45)], np.float64(23.419510301405744))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(17.92751384538829))","([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(19.477516186511508))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(17.294195435759995))","([np.int64(11), np.int64(16), np.int64(25), np.int64(36), np.int64(38), np.int64(43), np.int64(44)], np.float64(22.979532268776477))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(18.497043417896))","([np.int64(27), np.int64(29), np.int64(33), np.int64(41), np.int64(42), np.int64(49)], np.float64(21.299638821011825))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(17.136974600573193))","([np.int64(19), np.int64(31), np.int64(45), np.int64(46), np.int64(49)], np.float64(20.61557374541789))"
12,"([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(16.73247465974068))","([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(19.231345833083978))"
13,"([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(16.052328357814737))","([np.int64(1), np.int64(8), np.int64(9), np.int64(10), np.int64(31), np.int64(41)], np.float64(21.184604946525518))"
14,"([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(18.267489178827482))","([np.int64(16), np.int64(21), np.int64(38), np.int64(40), np.int64(42)], np.float64(21.07636135948544))"
15,"([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(15.750974335178402))","([np.int64(11), np.int64(19), np.int64(21), np.int64(41), np.int64(45)], np.float64(19.28285248896013))"
16,"([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(17.435853876418502))","([np.int64(4), np.int64(9), np.int64(19), np.int64(27), np.int64(40)], np.float64(20.024345947731145))"
17,"([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(18.027317836620927))","([np.int64(4), np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(22.32244582007554))"
18,"([np.int64(6), np.int64(31), np.int64(39), np.int64(48)], np.float64(17.274623991378213))","([np.int64(3), np.int64(6), np.int64(31), np.int64(39), np.int64(48)], np.float64(21.68202774536981))"
19,"([np.int64(0), np.int64(2), np.int64(19), np.int64(32)], np.float64(15.919900031129297))","([np.int64(0), np.int64(2), np.int64(3), np.int64(19), np.int64(32)], np.float64(19.007336751038586))"
20,"([np.int64(4), np.int64(7), np.int64(15), np.int64(28), np.int64(49)], np.float64(23.76581119442416))","([np.int64(4), np.int64(7), np.int64(15), np.int64(28)], np.float64(21.800125839958856))"
21,"([np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(16.856058015139716))","([np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(16.79926270974351))"
22,"([np.int64(4), np.int64(6), np.int64(11), np.int64(46)], np.float64(19.537011959791393))","([np.int64(4), np.int64(6), np.int64(11), np.int64(46)], np.float64(19.536733417238313))"
23,"([np.int64(0), np.int64(6), np.int64(31), np.int64(42)], np.float64(17.683312061925157))","([np.int64(0), np.int64(1), np.int64(6), np.int64(25), np.int64(31), np.int64(33), np.int64(42)], np.float64(21.11444948902259))"
24,"([np.int64(1), np.int64(8), np.int64(14), np.int64(37)], np.float64(17.28849453126732))","([np.int64(1), np.int64(8), np.int64(14), np.int64(37)], np.float64(18.18553655173898))"
25,"([np.int64(2), np.int64(13), np.int64(20), np.int64(26)], np.float64(20.523241578726154))","([np.int64(2), np.int64(13), np.int64(20), np.int64(26), np.int64(45)], np.float64(22.11933686366286))"
26,"([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(17.027171425277178))","([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(18.2971264500805))"
27,"([np.int64(6), np.int64(9), np.int64(19), np.int64(44)], np.float64(17.902139814538053))","([np.int64(6), np.int64(9), np.int64(19), np.int64(38), np.int64(44)], np.float64(21.220887432356093))"
28,"([np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(15.726965858229812))","([np.int64(7), np.int64(19), np.int64(35), np.int64(38), np.int64(44), np.int64(48)], np.float64(21.4680773389185))"
29,"([np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(17.40498076315593))","([np.int64(8), np.int64(14), np.int64(26), np.int64(38), np.int64(41)], np.float64(20.473007973010404))"
30,"([np.int64(20), np.int64(21), np.int64(34), np.int64(35)], np.float64(18.433084478286663))","([np.int64(5), np.int64(17), np.int64(20), np.int64(21), np.int64(27), np.int64(34), np.int64(35)], np.float64(22.69175233340027))"
31,"([np.int64(13), np.int64(26), np.int64(28), np.int64(37)], np.float64(18.46254713694791))","([np.int64(13), np.int64(26), np.int64(28), np.int64(36), np.int64(37), np.int64(44)], np.float64(25.024936036259344))"
32,"([np.int64(8), np.int64(9), np.int64(26), np.int64(37), np.int64(48)], np.float64(20.489386256829107))","([np.int64(8), np.int64(9), np.int64(24), np.int64(26), np.int64(37)], np.float64(21.908342008768123))"
33,"([np.int64(5), np.int64(23), np.int64(44), np.int64(45)], np.float64(18.393283585621504))","([np.int64(5), np.int64(18), np.int64(23), np.int64(44), np.int64(45)], np.float64(22.172502013015443))"
34,"([np.int64(2), np.int64(11), np.int64(21), np.int64(24)], np.float64(16.512518795381066))","([np.int64(2), np.int64(11), np.int64(15), np.int64(21), np.int64(24)], np.float64(19.760689491531025))"
35,"([np.int64(7), np.int64(30), np.int64(47), np.int64(49)], np.float64(18.864269963520076))","([np.int64(7), np.int64(30), np.int64(47), np.int64(49)], np.float64(20.538259393938464))"
36,"([np.int64(11), np.int64(17), np.int64(35), np.int64(41)], np.float64(17.52095715128503))","([np.int64(11), np.int64(17), np.int64(26), np.int64(35), np.int64(41)], np.float64(19.60893666523992))"
37,"([np.int64(4), np.int64(15), np.int64(24), np.int64(44)], np.float64(18.182643379883835))","([np.int64(4), np.int64(5), np.int64(15), np.int64(24), np.int64(44)], np.float64(20.692352582469994))"
38,"([np.int64(20), np.int64(25), np.int64(26), np.int64(28)], np.float64(17.37104640477727))","([np.int64(18), np.int64(20), np.int64(22), np.int64(25), np.int64(26), np.int64(28)], np.float64(22.117119438468368))"
