run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(28.41127799844119))","([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(25.760286903441045))"
2,"([np.int64(10), np.int64(22), np.int64(28), np.int64(30), np.int64(39)], np.float64(34.92617404833707))","([np.int64(9), np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(29.961963522885338))"
3,"([np.int64(5), np.int64(27)], np.float64(56.60576661855981))","([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(25.38532604640894))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(29.350789171420026))","([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(25.29045135364402))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(28.066235265286455))","([np.int64(2), np.int64(11), np.int64(15), np.int64(24), np.int64(36)], np.float64(30.642147576632393))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(28.591176948486797))","([np.int64(3), np.int64(5), np.int64(13), np.int64(17), np.int64(41), np.int64(44)], np.float64(28.199460535006832))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(39), np.int64(45)], np.float64(36.59951575177508))","([np.int64(13), np.int64(16), np.int64(17), np.int64(29), np.int64(39), np.int64(45)], np.float64(35.32449272816835))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(28.263879108823975))","([np.int64(10), np.int64(19), np.int64(35), np.int64(37), np.int64(48)], np.float64(28.926107732812262))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(31.188887069918824))","([np.int64(2), np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(30.79506311152597))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(29.11745572717138))","([np.int64(4), np.int64(10), np.int64(20), np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(33.171174276241175))"
