run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(20.707607164942164))","([np.int64(2), np.int64(3), np.int64(9), np.int64(13), np.int64(15), np.int64(41)], np.float64(23.882842352046914))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(22.297390467214104))","([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(21.285923845618758))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(19.273142527160275))","([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(19.415857619030632))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(19.789526847994036))","([np.int64(14), np.int64(15), np.int64(34), np.int64(38), np.int64(49)], np.float64(20.832607011793005))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(21.827209394052357))","([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(21.19508657809978))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(20.4757527765307))","([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(19.838490388353033))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(21.570708871101846))","([np.int64(13), np.int64(17), np.int64(25), np.int64(29), np.int64(45)], np.float64(26.00500888964368))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(22.034272403363868))","([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(21.1691733462655))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(20.636327679148195))","([np.int64(11), np.int64(16), np.int64(36), np.int64(38), np.int64(44)], np.float64(22.582059854211995))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(21.75564246467835))","([np.int64(3), np.int64(7), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(25.10653225620417))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(20.3647572739208))","([np.int64(19), np.int64(31), np.int64(44), np.int64(46), np.int64(49)], np.float64(22.945647315282283))"
12,"([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(20.30760145285804))","([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(21.90917820745293))"
13,"([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(18.36582726196322))","([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(19.761288507789185))"
14,"([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(20.720570184690864))","([np.int64(1), np.int64(6), np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(23.33142670970389))"
15,"([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(19.66852143145186))","([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(20.472067488100127))"
16,"([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(20.386490683571378))","([np.int64(4), np.int64(9), np.int64(19), np.int64(31), np.int64(40)], np.float64(22.30459120076153))"
17,"([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(20.683839012483713))","([np.int64(8), np.int64(18), np.int64(22), np.int64(25), np.int64(26), np.int64(27)], np.float64(25.893321676834116))"
18,"([np.int64(6), np.int64(31), np.int64(39), np.int64(48)], np.float64(21.755418555913838))","([np.int64(6), np.int64(31), np.int64(39), np.int64(48)], np.float64(23.088969221082568))"
19,"([np.int64(0), np.int64(2), np.int64(19), np.int64(32)], np.float64(21.716509585187733))","([np.int64(0), np.int64(2), np.int64(19), np.int64(32)], np.float64(20.411713662190927))"
20,"([np.int64(4), np.int64(7), np.int64(15), np.int64(28)], np.float64(22.983885170195276))","([np.int64(4), np.int64(7), np.int64(15), np.int64(28)], np.float64(24.007049450211987))"
21,"([np.int64(13), np.int64(15), np.int64(30), np.int64(38), np.int64(41)], np.float64(24.797684624484532))","([np.int64(13), np.int64(15), np.int64(30), np.int64(38), np.int64(41)], np.float64(20.283836550212673))"
22,"([np.int64(4), np.int64(6), np.int64(11), np.int64(34), np.int64(46)], np.float64(25.142991584083532))","([np.int64(4), np.int64(6), np.int64(11), np.int64(34), np.int64(46)], np.float64(22.19818650941472))"
23,"([np.int64(0), np.int64(6), np.int64(31), np.int64(42), np.int64(45)], np.float64(25.17933512235916))","([np.int64(0), np.int64(6), np.int64(12), np.int64(25), np.int64(31), np.int64(42)], np.float64(22.757799194412065))"
24,"([np.int64(1), np.int64(8), np.int64(14), np.int64(37)], np.float64(20.449569906804378))","([np.int64(1), np.int64(8), np.int64(14), np.int64(17), np.int64(37), np.int64(46)], np.float64(23.725068330576942))"
25,"([np.int64(2), np.int64(13), np.int64(20), np.int64(26)], np.float64(22.313083446071904))","([np.int64(2), np.int64(7), np.int64(13), np.int64(20), np.int64(26), np.int64(45)], np.float64(25.52747519202249))"
26,"([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(21.299728844486772))","([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(20.64273046649416))"
27,"([np.int64(6), np.int64(9), np.int64(19), np.int64(44)], np.float64(22.003125130603273))","([np.int64(6), np.int64(9), np.int64(19), np.int64(44)], np.float64(22.27398581650017))"
28,"([np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(19.567749698910085))","([np.int64(7), np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(23.50287438198848))"
29,"([np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(20.059251674919352))","([np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(21.004923861912065))"
30,"([np.int64(20), np.int64(21), np.int64(34), np.int64(35)], np.float64(21.382046916917))","([np.int64(20), np.int64(21), np.int64(26), np.int64(34), np.int64(35), np.int64(40)], np.float64(24.24775451444037))"
31,"([np.int64(13), np.int64(26), np.int64(28), np.int64(37)], np.float64(22.67954687379902))","([np.int64(13), np.int64(22), np.int64(26), np.int64(28), np.int64(37), np.int64(44)], np.float64(27.472209310388166))"
32,"([np.int64(8), np.int64(9), np.int64(26), np.int64(27), np.int64(37)], np.float64(23.898509713771908))","([np.int64(8), np.int64(9), np.int64(10), np.int64(26), np.int64(37)], np.float64(23.532856871455603))"
33,"([np.int64(5), np.int64(23), np.int64(44), np.int64(45)], np.float64(21.814644117923358))","([np.int64(5), np.int64(11), np.int64(23), np.int64(29), np.int64(44), np.int64(45)], np.float64(25.362352592513176))"
34,"([np.int64(2), np.int64(11), np.int64(21), np.int64(24)], np.float64(22.701186711301474))","([np.int64(2), np.int64(11), np.int64(21), np.int64(24), np.int64(45)], np.float64(23.329458150340777))"
35,"([np.int64(7), np.int64(30), np.int64(47), np.int64(49)], np.float64(22.787517916059397))","([np.int64(7), np.int64(30), np.int64(32), np.int64(47), np.int64(49)], np.float64(25.045331823514886))"
36,"([np.int64(11), np.int64(17), np.int64(35), np.int64(41)], np.float64(21.97638448720972))","([np.int64(11), np.int64(17), np.int64(35), np.int64(41)], np.float64(20.151801946947387))"
37,"([np.int64(4), np.int64(15), np.int64(24), np.int64(44)], np.float64(23.625172105515443))","([np.int64(4), np.int64(15), np.int64(24), np.int64(44)], np.float64(20.863924060774988))"
38,"([np.int64(20), np.int64(25), np.int64(26), np.int64(28)], np.float64(20.23558641567344))","([np.int64(18), np.int64(20), np.int64(22), np.int64(25), np.int64(26), np.int64(28)], np.float64(23.988242312063605))"
39,"([np.int64(5), np.int64(21), np.int64(25), np.int64(43)], np.float64(19.8877582595696))","([np.int64(5), np.int64(17), np.int64(21), np.int64(25), np.int64(43)], np.float64(21.540540792843625))"
40,"([np.int64(29), np.int64(33), np.int64(35), np.int64(44)], np.float64(22.196935340208068))","([np.int64(29), np.int64(33), np.int64(35), np.int64(44)], np.float64(20.26260684710933))"
41,"([np.int64(3), np.int64(6), np.int64(11), np.int64(14)], np.float64(19.13092321437225))","([np.int64(3), np.int64(6), np.int64(9), np.int64(11), np.int64(14), np.int64(24)], np.float64(22.844828776692562))"
42,"([np.int64(6), np.int64(15), np.int64(43), np.int64(49)], np.float64(21.613386425918463))","([np.int64(6), np.int64(10), np.int64(15), np.int64(19), np.int64(43), np.int64(49)], np.float64(24.242066203536368))"
43,"([np.int64(24), np.int64(30), np.int64(35), np.int64(45)], np.float64(22.803266440280577))","([np.int64(24), np.int64(30), np.int64(35), np.int64(42), np.int64(45)], np.float64(25.21088918324279))"
