run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(10.740954601291696))","([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(14.189842945315613))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(11.543871817302625))","([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(14.463560456516275))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(11.989851525325765))","([np.int64(0), np.int64(3), np.int64(4), np.int64(5), np.int64(10), np.int64(27), np.int64(49)], np.float64(17.75112925789184))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(11.463884846921745))","([np.int64(14), np.int64(20), np.int64(25), np.int64(30), np.int64(34), np.int64(38), np.int64(49)], np.float64(17.416387752175165))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(12.10210497524832))","([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(13.802757588596782))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(10.588617159769084))","([np.int64(5), np.int64(17), np.int64(24), np.int64(41), np.int64(44)], np.float64(15.599112880716914))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(13.119987094433663))","([np.int64(13), np.int64(15), np.int64(17), np.int64(29), np.int64(45)], np.float64(16.335802678142468))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(12.624081451448935))","([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(15.847157205738432))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(11.758574668726363))","([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(13.736886562713817))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(11.844132065875744))","([np.int64(27), np.int64(29), np.int64(41), np.int64(42), np.int64(46)], np.float64(15.709670068248775))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(12.428719790134728))","([np.int64(9), np.int64(19), np.int64(29), np.int64(31), np.int64(35), np.int64(46), np.int64(49)], np.float64(16.29452696998619))"
12,"([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(13.276489621326556))","([np.int64(7), np.int64(12), np.int64(15), np.int64(38), np.int64(43)], np.float64(17.02410099452898))"
13,"([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(10.281628860921876))","([np.int64(8), np.int64(10), np.int64(21), np.int64(31), np.int64(41)], np.float64(15.148879494697798))"
14,"([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(11.711586542383891))","([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(14.593556153035136))"
15,"([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(9.960545614886673))","([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(12.97767321480918))"
16,"([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(12.30813516057424))","([np.int64(4), np.int64(5), np.int64(9), np.int64(19), np.int64(40)], np.float64(14.80306534628235))"
17,"([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(11.566507454426086))","([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(15.184701401643194))"
18,"([np.int64(6), np.int64(31), np.int64(39), np.int64(48)], np.float64(11.08525982128111))","([np.int64(6), np.int64(13), np.int64(28), np.int64(31), np.int64(39), np.int64(48)], np.float64(17.659144602232672))"
19,"([np.int64(0), np.int64(2), np.int64(19), np.int64(32)], np.float64(12.16125421051965))","([np.int64(0), np.int64(2), np.int64(19), np.int64(24), np.int64(32)], np.float64(15.200712074219966))"
20,"([np.int64(4), np.int64(7), np.int64(15), np.int64(28)], np.float64(12.825816235374848))","([np.int64(4), np.int64(7), np.int64(15), np.int64(28)], np.float64(15.41556877065688))"
21,"([np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(11.41682412667423))","([np.int64(13), np.int64(15), np.int64(18), np.int64(30), np.int64(41)], np.float64(14.525709855909467))"
22,"([np.int64(4), np.int64(6), np.int64(11), np.int64(46)], np.float64(12.849200191571008))","([np.int64(4), np.int64(6), np.int64(11), np.int64(12), np.int64(46)], np.float64(16.27202216413011))"
23,"([np.int64(0), np.int64(6), np.int64(31), np.int64(42)], np.float64(12.276594141776815))","([np.int64(0), np.int64(6), np.int64(25), np.int64(31), np.int64(42)], np.float64(16.393955625524352))"
24,"([np.int64(1), np.int64(8), np.int64(14), np.int64(37)], np.float64(11.50444671507936))","([np.int64(1), np.int64(8), np.int64(14), np.int64(19), np.int64(35), np.int64(37)], np.float64(18.538732970667102))"
