run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(12.71460505631241))","([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(15.27843280400511))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(11.532359255421127))","([np.int64(5), np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(17.2588953376359))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(12.119956630235409))","([np.int64(0), np.int64(4), np.int64(5), np.int64(10), np.int64(27)], np.float64(16.154100726744623))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(12.215450386211808))","([np.int64(14), np.int64(30), np.int64(31), np.int64(34), np.int64(38), np.int64(49)], np.float64(18.006364420896265))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(12.52167328570806))","([np.int64(2), np.int64(11), np.int64(14), np.int64(15), np.int64(36)], np.float64(16.875660055224106))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(11.874372412694273))","([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(15.499686748617034))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(13.094086509970394))","([np.int64(13), np.int64(15), np.int64(17), np.int64(29), np.int64(45)], np.float64(17.640103723580193))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(12.702960731946316))","([np.int64(10), np.int64(15), np.int64(19), np.int64(37), np.int64(48)], np.float64(18.122311939625675))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(12.464725966811509))","([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(14.651487477075829))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(13.11926651095209))","([np.int64(27), np.int64(29), np.int64(33), np.int64(41), np.int64(42), np.int64(49)], np.float64(17.571791677525532))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(12.197889809108936))","([np.int64(4), np.int64(9), np.int64(19), np.int64(30), np.int64(31), np.int64(37), np.int64(43), np.int64(46), np.int64(49)], np.float64(18.920154818423388))"
